Channel_Games,Viewers,Channels
Friday the 13th The Game,1191,32
Friends Marble,365,2
Frostpunk,849,1
FTL Faster Than Light,885,5
Fun N Games,1192,1
Furi,240,5
Fútbol,1207,2
Galaga,595,1
Game Dev Tycoon,1533,2
Games  Demos,5662,56
Gang Beasts,2455,9
Garrys Mod,1856,31
Gartic,5655,3
Gears of War 4,8643,30
GeoGuessr,1701,7
Geometry Dash,131,21
Get Wrecked,15765,2
GetAmped,608,1
Getting Over It,551,9
Ghost of a Tale,2872,12
Girls Frontline,425,19
Girls und Panzer Dream Tank Match,1168,1
God of War,17682,10
God of War Ascension,770,3
God of War II,13994,5
God of War III,913,3
Gods Will Be Watching,1480,1
Gold Rush The Game,768,4
Golden Sun The Lost Age,652,1
GoldenEye 007,526,2
GoldenEye Source,2752,2
Golf,495,1
Golf It,2257,1
Golf With Your Friends,1867,19
Golfing Over It with Alva Majo,3551,21
Goof Troop,2241,1
Gran Turismo Sport,4265,8
Grand Theft Auto,1958,1
Grand Theft Auto 2,912,1
Grand Theft Auto Advance,1892,1
Grand Theft Auto Chinatown Wars,980,1
Grand Theft Auto Episodes from Liberty City,1509,1
Grand Theft Auto III,969,4
Grand Theft Auto IV,814,5
Grand Theft Auto San Andreas,186,24
Grand Theft Auto V,24312,635
Grand Theft Auto Vice City,843,4
Grand Theft Auto Vice City Stories,872,1
GRID 2,2139,4
Guild Wars 2,469,53
Guilty Gear Xrd REV 2,1510,6
Guitar Hero III Legends of Rock,811,26
Guts and Glory,1427,1
Gwent The Witcher Card Game,1216,39
H1Z1,1131,61
HalfLife,3740,5
HalfLife 2,458,6
HALO5,660,68
Halo The Master Chief Collection,347,8
Hand Dic,125,1
Hand of Fate 2,922,2
Hand Simulator,30721,5
Happy Wheels,3462,3
Hatsune Miku Project DIVA F 2nd,1138,2
Hatsune Miku Project Diva Future Tone,1180,3
Hearthstone,63735,328
Hearts,956,1
Hearts of Iron IV,764,18
Heavy Rain,998,3
Heroes of Hammerwatch,425,4
Heroes of Might and Magic III ,1773,14
Heroes of Might ,6571,7
Heroes of Newerth,771,6
Heroes of the Storm,16545,230
HITMAN,373,4
Hollow Knight,7904,40
Honkai Impact,6542,7
Horizon Zero Dawn,855,38
Horror Stories,888,1
Hotline Miami 2 Wrong Number,565,4
House Flipper,1876,1
Human Fall Flat,254,13
Hunt Showdown,570,21
I Expect You to Die,1249,1
I Wanna Be The Boshy,1204,1
I Wanna Be The Guy,296,6
Immortal Redneck,751,2
In Verbis Virtus,1382,1
Infernium,5557,1
Infestation The New Z,2131,41
Infinite Minigolf,6161,3
Injustice 2,810,9
Insaniquarium Deluxe,2291,1
International Superstar Soccer Deluxe,1820,1
Ion Maiden,2573,1
iRacingcom,648,62
IRL,92118,980
IRONSIGHT,589,15
Isbarah,1612,1
Island 359,2292,1
Islands of Nyne Battle Royale,1267,65
Jak II,2528,3
Jalopy,1560,1
Jet Grind Radio,494,1
John Woo presents Stranglehold,2305,1
Just Dance 2015,911,1
Just Dance 2017,122,1
Just Dance 2018,2323,2
Karnovs Revenge,2616,2
Kartrider,613,16
Keep Talking and Nobody Explodes,892,5
Kenshi,1197,4
Kerbal Space Program,607,13
Killer Instinct,7327,8
Killing Floor 2,14906,39
Kingdom Come Deliverance,146,57
Kingdom Hearts HD I5  II5 Remix,567,10
Kings Quest IV The Perils of Rosella,1235,1
Kingsway,555,3
Kirby 64 The Crystal Shards,13,2
Kirby Star Allies,188,3
Kirbys Dream Course,1641,1
Knight Online,468,7
Knives Out,1221,9
Knowledge is Power,4748,1
LA Noire,1411,5
LA Noire The VR Case Files,1661,1
Late Shift,1490,10
League Of Legends,285261,2438
Leap of Fate,519,1
Left 4 Dead 2,2654,21
Lethal League,1458,4
Life Is Strange,1272,14
Life Is Strange Before the Storm,480,10
Lineage 2 Revolution,764,5
Lineage II The Chaotic Chronicle,37,115
Lisa,583,5
LOL,753,3
London 2012  The Official Vide,2501,1
Lovers in a Dangerous Spacetime,851,1
Mad Max,2856,122
Madden NFL 2017,806,120
Mafia LIVE,761,1
Magic The Gathering,15494,91
Make Sail,30825,4
Manual Samuel,3455,1
MapleStory,572,31
Mario Kart 8,1391,13
Mario Kart Wii,2335,5
Mario Party,554,3
Mario Party 10,1249,1
Mario Party 2,824,1
Mario Party 3,518,1
Mario Party 4,543,2
Mario Party 8,1223,1
Marvel vs Capcom 2 New Age of Heroes,336,1
Marvel vs Capcom Infinite,13987,2
Mass Effect Andromeda,293,6
